Geneid	Chr	Start	End	Strand	Length	gene_name	Excel_name	gene_type
ENSG00000005469	chr7	87345681	87399795	+	54115	CROT	'CROT	protein_coding
ENSG00000005471	chr7	87401697	87480435	-	78739	ABCB4	'ABCB4	protein_coding
ENSG00000005483	chr7	105014190	105115019	+	100830	KMT2E	'KMT2E	protein_coding
ENSG00000005486	chr7	75842602	75888926	+	46325	RHBDD2	'RHBDD2	protein_coding
ENSG00000005513	chr16	981770	986979	+	5210	SOX8	'SOX8	protein_coding
ENSG00000005700	chr6	82169986	82247754	-	77769	IBTK	'IBTK	protein_coding
ENSG00000005801	chr11	3339261	3379222	-	39962	ZNF195	'ZNF195	protein_coding
ENSG00000005810	chr13	77044657	77327094	-	282438	MYCBP2	'MYCBP2	protein_coding
ENSG00000005812	chr13	76992598	77027195	-	34598	FBXL3	'FBXL3	protein_coding
ENSG00000005844	chr16	30472719	30523185	+	50467	ITGAL	'ITGAL	protein_coding
ENSG00000005882	chr17	50094737	50112152	+	17416	PDK2	'PDK2	protein_coding
ENSG00000005884	chr17	50055968	50090481	+	34514	ITGA3	'ITGA3	protein_coding
ENSG00000005889	chrX	24149173	24216255	+	67083	ZFX	'ZFX	protein_coding
ENSG00000005893	chrX	120427827	120469365	-	41539	LAMP2	'LAMP2	protein_coding
ENSG00000005961	chr17	44372180	44389649	-	17470	ITGA2B	'ITGA2B	protein_coding
ENSG00000005981	chr7	95478444	95540233	+	61790	ASB4	'ASB4	protein_coding
ENSG00000006007	chr16	19501693	19522123	-	20431	GDE1	'GDE1	protein_coding
ENSG00000006015	chr19	18588685	18592336	+	3652	REX1BD	'REX1BD	protein_coding
ENSG00000006016	chr19	18572220	18607741	-	35522	CRLF1	'CRLF1	protein_coding
ENSG00000006025	chr17	47807372	47821834	-	14463	OSBPL7	'OSBPL7	protein_coding
ENSG00000006042	chr17	32927910	32945106	+	17197	TMEM98	'TMEM98	protein_coding
ENSG00000006047	chr17	7288263	7294639	-	6377	YBX2	'YBX2	protein_coding
ENSG00000006059	chr17	41346092	41350828	-	4737	KRT33A	'KRT33A	protein_coding
ENSG00000006062	chr17	45263119	45317029	-	53911	MAP3K14	'MAP3K14	protein_coding
ENSG00000006071	chr11	17392498	17476879	-	84382	ABCC8	'ABCC8	protein_coding
ENSG00000006116	chr16	24255553	24362801	+	107249	CACNG3	'CACNG3	protein_coding
ENSG00000006118	chr11	60924463	60937159	+	12697	TMEM132A	'TMEM132A	protein_coding
ENSG00000006125	chr17	35578046	35726413	+	148368	AP2B1	'AP2B1	protein_coding
ENSG00000006128	chr7	97732084	97740472	+	8389	TAC1	'TAC1	protein_coding
ENSG00000006194	chr16	3263800	3301401	+	37602	ZNF263	'ZNF263	protein_coding
ENSG00000006210	chr16	57372477	57385044	+	12568	CX3CL1	'CX3CL1	protein_coding
ENSG00000006282	chr17	50543058	50555852	+	12795	SPATA20	'SPATA20	protein_coding
ENSG00000006283	chr17	50560715	50627474	+	66760	CACNA1G	'CACNA1G	protein_coding
ENSG00000006327	chr16	3018445	3022383	+	3939	TNFRSF12A	'TNFRSF12A	protein_coding
ENSG00000006377	chr7	97005553	97011040	+	5488	DLX6	'DLX6	protein_coding
ENSG00000006432	chr14	70722526	70809534	-	87009	MAP3K9	'MAP3K9	protein_coding
ENSG00000006451	chr7	39623565	39708120	+	84556	RALA	'RALA	protein_coding
ENSG00000006453	chr7	98291650	98401090	-	109441	BAIAP2L1	'BAIAP2L1	protein_coding
ENSG00000006459	chr7	140084746	140176983	-	92238	KDM7A	'KDM7A	protein_coding
ENSG00000006468	chr7	13891229	13991425	-	100197	ETV1	'ETV1	protein_coding
ENSG00000006530	chr7	141551278	141655244	+	103967	AGK	'AGK	protein_coding
ENSG00000006534	chr11	68008578	68029282	+	20705	ALDH3B1	'ALDH3B1	protein_coding
ENSG00000006555	chr1	54779712	54801323	-	21612	TTC22	'TTC22	protein_coding
ENSG00000006576	chr7	77798792	77957503	+	158712	PHTF2	'PHTF2	protein_coding
ENSG00000006606	chr7	75769533	75789896	-	20364	CCL26	'CCL26	protein_coding
ENSG00000006607	chr2	241356285	241494841	+	138557	FARP2	'FARP2	protein_coding
ENSG00000006611	chr11	17493895	17544416	-	50522	USH1C	'USH1C	protein_coding
ENSG00000006625	chr7	30496621	30504841	-	8221	GGCT	'GGCT	protein_coding
ENSG00000006634	chr7	87876216	87909553	+	33338	DBF4	'DBF4	protein_coding
ENSG00000006638	chr19	3594506	3606840	-	12335	TBXA2R	'TBXA2R	protein_coding
ENSG00000006652	chr7	112422968	112481017	+	58050	IFRD1	'IFRD1	protein_coding
ENSG00000006659	chr19	39704481	39709444	+	4964	LGALS14	'LGALS14	protein_coding
ENSG00000006695	chr17	14069490	14231736	+	162247	COX10	'COX10	protein_coding
ENSG00000006704	chr7	74453790	74602604	+	148815	GTF2IRD1	'GTF2IRD1	protein_coding
ENSG00000006712	chr19	39385629	39391154	-	5526	PAF1	'PAF1	protein_coding
ENSG00000006715	chr7	38722974	38932394	-	209421	VPS41	'VPS41	protein_coding
ENSG00000006740	chr17	12789498	12991643	+	202146	ARHGAP44	'ARHGAP44	protein_coding
ENSG00000006744	chr17	12991612	13018065	-	26454	ELAC2	'ELAC2	protein_coding
ENSG00000006747	chr7	12570577	12660182	+	89606	SCIN	'SCIN	protein_coding
ENSG00000006756	chrX	2903972	2929349	-	25378	ARSD	'ARSD	protein_coding
ENSG00000006757	chrX	7898247	7927739	-	29493	PNPLA4	'PNPLA4	protein_coding
ENSG00000006788	chr17	10300865	10373130	-	72266	MYH13	'MYH13	protein_coding
ENSG00000006831	chr12	1688574	1788674	+	100101	ADIPOR2	'ADIPOR2	protein_coding
ENSG00000006837	chr5	134286350	134371047	-	84698	CDKL3	'CDKL3	protein_coding
ENSG00000007001	chr2	157876702	158136154	+	259453	UPP2	'UPP2	protein_coding
ENSG00000007038	chr16	2817180	2826304	+	9125	PRSS21	'PRSS21	protein_coding
ENSG00000007047	chr19	45079288	45305284	+	225997	MARK4	'MARK4	protein_coding
ENSG00000007062	chr4	15963076	16084378	-	121303	PROM1	'PROM1	protein_coding
ENSG00000007080	chr19	17933015	17943991	+	10977	CCDC124	'CCDC124	protein_coding
ENSG00000007129	chr19	41549518	41586844	+	37327	CEACAM21	'CEACAM21	protein_coding
ENSG00000007168	chr17	2593210	2685615	+	92406	PAFAH1B1	'PAFAH1B1	protein_coding
ENSG00000007171	chr17	27756766	27800529	-	43764	NOS2	'NOS2	protein_coding
ENSG00000007174	chr17	11598470	11969748	+	371279	DNAH9	'DNAH9	protein_coding
ENSG00000007202	chr17	28614446	28645454	-	31009	KIAA0100	'KIAA0100	protein_coding
ENSG00000007216	chr17	28473293	28497781	+	24489	SLC13A2	'SLC13A2	protein_coding
ENSG00000007237	chr17	9910609	10198551	-	287943	GAS7	'GAS7	protein_coding
ENSG00000007255	chr19	45162928	45178237	-	15310	TRAPPC6A	'TRAPPC6A	protein_coding
ENSG00000007264	chr19	3777970	3802129	-	24160	MATK	'MATK	protein_coding
ENSG00000007306	chr19	41673303	41706976	-	33674	CEACAM7	'CEACAM7	protein_coding
ENSG00000007312	chr17	63928740	63932354	-	3615	CD79B	'CD79B	protein_coding
ENSG00000007314	chr17	63938554	63972918	-	34365	SCN4A	'SCN4A	protein_coding
ENSG00000007341	chr1	112523514	112620825	-	97312	ST7L	'ST7L	protein_coding
ENSG00000007350	chrX	154295795	154330350	+	34556	TKTL1	'TKTL1	protein_coding
ENSG00000007372	chr11	31784779	31817961	-	33183	PAX6	'PAX6	protein_coding
ENSG00000007376	chr16	784974	788397	-	3424	RPUSD1	'RPUSD1	protein_coding
ENSG00000007384	chr16	58059	76355	-	18297	RHBDF1	'RHBDF1	protein_coding
ENSG00000007392	chr16	188969	229463	-	40495	LUC7L	'LUC7L	protein_coding
ENSG00000007402	chr3	50362799	50504244	-	141446	CACNA2D2	'CACNA2D2	protein_coding
ENSG00000007516	chr16	1333601	1349441	+	15841	BAIAP3	'BAIAP3	protein_coding
ENSG00000007520	chr16	1349240	1351878	-	2639	TSR3	'TSR3	protein_coding
ENSG00000007541	chr16	566995	584136	+	17142	PIGQ	'PIGQ	protein_coding
ENSG00000007545	chr16	1612325	1677908	+	65584	CRAMP1	'CRAMP1	protein_coding
ENSG00000007866	chr6	35473597	35497079	-	23483	TEAD3	'TEAD3	protein_coding
ENSG00000007908	chr1	169722640	169764705	-	42066	SELE	'SELE	protein_coding
ENSG00000007923	chr1	6634168	6701924	-	67757	DNAJC11	'DNAJC11	protein_coding
ENSG00000007933	chr1	171090901	171117819	+	26919	FMO3	'FMO3	protein_coding
ENSG00000007944	chr6	16129086	16148248	+	19163	MYLIP	'MYLIP	protein_coding
ENSG00000007952	chrX	100843324	100874359	-	31036	NOX1	'NOX1	protein_coding
ENSG00000007968	chr1	23506438	23531233	-	24796	E2F2	'E2F2	protein_coding
ENSG00000008018	chr6	170535120	170553307	-	18188	PSMB1	'PSMB1	protein_coding
ENSG00000008056	chrX	47571901	47619857	-	47957	SYN1	'SYN1	protein_coding
ENSG00000008083	chr6	15246069	15522042	+	275974	JARID2	'JARID2	protein_coding
ENSG00000008086	chrX	18425583	18653629	+	228047	CDKL5	'CDKL5	protein_coding
ENSG00000008118	chr1	209583714	209613939	+	30226	CAMK1G	'CAMK1G	protein_coding
ENSG00000008128	chr1	1702379	1724357	-	21979	CDK11A	'CDK11A	protein_coding
ENSG00000008130	chr1	1751232	1780457	-	29226	NADK	'NADK	protein_coding
ENSG00000008196	chr6	50818723	50847619	+	28897	TFAP2B	'TFAP2B	protein_coding
ENSG00000008197	chr6	50713828	50772988	+	59161	TFAP2D	'TFAP2D	protein_coding
ENSG00000008226	chr3	38039205	38124025	+	84821	DLEC1	'DLEC1	protein_coding
ENSG00000008256	chr7	6161776	6272644	-	110869	CYTH3	'CYTH3	protein_coding
ENSG00000008277	chr7	87934143	88202889	+	268747	ADAM22	'ADAM22	protein_coding
ENSG00000008282	chr7	106090503	106112576	-	22074	SYPL1	'SYPL1	protein_coding
ENSG00000008283	chr17	63432304	63446354	-	14051	CYB561	'CYB561	protein_coding
ENSG00000008294	chr17	50962174	51120868	-	158695	SPAG9	'SPAG9	protein_coding
ENSG00000008300	chr3	48636463	48662886	-	26424	CELSR3	'CELSR3	protein_coding
ENSG00000008311	chr7	122073549	122144255	-	70707	AASS	'AASS	protein_coding
ENSG00000008323	chr12	6310436	6328506	+	18071	PLEKHG6	'PLEKHG6	protein_coding
ENSG00000008324	chr3	42581840	42595114	+	13275	SS18L2	'SS18L2	protein_coding
ENSG00000008382	chr19	4343527	4360086	+	16560	MPND	'MPND	protein_coding
ENSG00000008394	chr12	16347142	16609259	+	262118	MGST1	'MGST1	protein_coding
ENSG00000008405	chr12	106991364	107093549	-	102186	CRY1	'CRY1	protein_coding
ENSG00000008438	chr19	46019153	46023053	-	3901	PGLYRP1	'PGLYRP1	protein_coding
ENSG00000008441	chr19	12995608	13098796	+	103189	NFIX	'NFIX	protein_coding
ENSG00000008513	chr8	133454848	133571940	-	117093	ST3GAL1	'ST3GAL1	protein_coding
ENSG00000008516	chr16	3046561	3060726	+	14166	MMP25	'MMP25	protein_coding
ENSG00000008517	chr16	3065297	3082192	+	16896	IL32	'IL32	protein_coding
ENSG00000008710	chr16	2088710	2135898	-	47189	PKD1	'PKD1	protein_coding
ENSG00000008735	chr22	50600793	50613981	+	13189	MAPK8IP2	'MAPK8IP2	protein_coding
ENSG00000008838	chr17	40019097	40061215	-	42119	MED24	'MED24	protein_coding
ENSG00000008853	chr8	22987417	23020199	+	32783	RHOBTB2	'RHOBTB2	protein_coding
ENSG00000008869	chr2	36968383	37084372	-	115990	HEATR5B	'HEATR5B	protein_coding
ENSG00000008952	chr3	169966635	169998373	+	31739	SEC62	'SEC62	protein_coding
ENSG00000008988	chr8	56067295	56074581	-	7287	RPS20	'RPS20	protein_coding
ENSG00000009307	chr1	114716913	114758676	-	41764	CSDE1	'CSDE1	protein_coding
ENSG00000009335	chr7	157138916	157269370	+	130455	UBE3C	'UBE3C	protein_coding
ENSG00000009413	chr6	111299028	111483715	-	184688	REV3L	'REV3L	protein_coding
ENSG00000009694	chrX	124375903	124963817	-	587915	TENM1	'TENM1	protein_coding
ENSG00000009709	chr1	18630846	18748866	+	118021	PAX7	'PAX7	protein_coding
ENSG00000009724	chr1	11026523	11047239	-	20717	MASP2	'MASP2	protein_coding
ENSG00000009765	chr6	150368892	150405969	+	37078	IYD	'IYD	protein_coding
ENSG00000009780	chr1	27725979	27763122	+	37144	FAM76A	'FAM76A	protein_coding
ENSG00000009790	chr1	209756032	209782320	+	26289	TRAF3IP3	'TRAF3IP3	protein_coding
ENSG00000009830	chr14	77274956	77320884	-	45929	POMT2	'POMT2	protein_coding
ENSG00000009844	chr6	142147162	142224685	+	77524	VTA1	'VTA1	protein_coding
ENSG00000009950	chr7	73593194	73624543	-	31350	MLXIPL	'MLXIPL	protein_coding
ENSG00000009954	chr7	73440406	73522293	-	81888	BAZ1B	'BAZ1B	protein_coding
ENSG00000010017	chr6	13621498	13711835	-	90338	RANBP9	'RANBP9	protein_coding
ENSG00000010030	chr6	36354091	36387800	-	33710	ETV7	'ETV7	protein_coding
ENSG00000010072	chr1	231337104	231355023	+	17920	SPRTN	'SPRTN	protein_coding
ENSG00000010165	chr1	171781660	171814023	+	32364	EEF1AKNMT	'EEF1AKNMT	protein_coding
ENSG00000010219	chr12	4562204	4615302	+	53099	DYRK4	'DYRK4	protein_coding
ENSG00000010244	chr17	32350117	32381886	+	31770	ZNF207	'ZNF207	protein_coding
ENSG00000010256	chr3	48599002	48610976	-	11975	UQCRC1	'UQCRC1	protein_coding
ENSG00000010270	chr7	38178222	38230671	+	52450	STARD3NL	'STARD3NL	protein_coding
ENSG00000010278	chr12	6199715	6238271	+	38557	CD9	'CD9	protein_coding
ENSG00000010282	chr3	42692663	42702824	-	10162	HHATL	'HHATL	protein_coding
ENSG00000010292	chr12	6493356	6531955	+	38600	NCAPD2	'NCAPD2	protein_coding
ENSG00000010295	chr12	6538375	6556083	-	17709	IFFO1	'IFFO1	protein_coding
ENSG00000010310	chr19	45668221	45683722	+	15502	GIPR	'GIPR	protein_coding
ENSG00000010318	chr3	52410660	52423641	+	12982	PHF7	'PHF7	protein_coding
ENSG00000010319	chr3	52433035	52445103	-	12069	SEMA3G	'SEMA3G	protein_coding
ENSG00000010322	chr3	52455118	52493068	+	37951	NISCH	'NISCH	protein_coding
ENSG00000010327	chr3	52495338	52524495	+	29158	STAB1	'STAB1	protein_coding
ENSG00000010361	chr19	49806866	49817376	-	10511	FUZ	'FUZ	protein_coding
ENSG00000010379	chr12	220621	262873	-	42253	SLC6A13	'SLC6A13	protein_coding
ENSG00000010404	chrX	149476988	149521096	-	44109	IDS	'IDS	protein_coding
ENSG00000010438	chr9	33750466	33799231	+	48766	PRSS3	'PRSS3	protein_coding
ENSG00000010539	chr16	3222325	3236221	-	13897	ZNF200	'ZNF200	protein_coding
ENSG00000010610	chr12	6786858	6820799	+	33942	CD4	'CD4	protein_coding
ENSG00000010626	chr12	6873569	6914241	+	40673	LRRC23	'LRRC23	protein_coding
ENSG00000010671	chrX	101349447	101390796	-	41350	BTK	'BTK	protein_coding
ENSG00000010704	chr6	26087281	26098343	+	11063	HFE	'HFE	protein_coding
ENSG00000010803	chr1	41027200	41242154	-	214955	SCMH1	'SCMH1	protein_coding
ENSG00000010810	chr6	111660332	111873452	-	213121	FYN	'FYN	protein_coding
ENSG00000010818	chr6	142751469	142956698	-	205230	HIVEP2	'HIVEP2	protein_coding
ENSG00000010932	chr1	171248471	171285978	+	37508	FMO1	'FMO1	protein_coding
ENSG00000011007	chr1	23743155	23762059	+	18905	ELOA	'ELOA	protein_coding
ENSG00000011009	chr1	23791145	23795539	+	4395	LYPLA2	'LYPLA2	protein_coding
ENSG00000011021	chr1	11806096	11848079	+	41984	CLCN6	'CLCN6	protein_coding
ENSG00000011028	chr17	62627670	62693597	+	65928	MRC2	'MRC2	protein_coding
ENSG00000011083	chr5	150190062	150222788	+	32727	SLC6A7	'SLC6A7	protein_coding
ENSG00000011105	chr12	3077355	3286564	+	209210	TSPAN9	'TSPAN9	protein_coding
ENSG00000011114	chr14	93237550	93333092	-	95543	BTBD7	'BTBD7	protein_coding
ENSG00000011132	chr19	3750772	3761692	-	10921	APBA3	'APBA3	protein_coding
ENSG00000011143	chr17	58205437	58219605	-	14169	MKS1	'MKS1	protein_coding
ENSG00000011198	chr3	43690108	43734371	+	44264	ABHD5	'ABHD5	protein_coding
ENSG00000011201	chrX	8528874	8732137	-	203264	ANOS1	'ANOS1	protein_coding
ENSG00000011243	chr19	15380050	15419141	-	39092	AKAP8L	'AKAP8L	protein_coding
ENSG00000011258	chr17	51177425	51260163	-	82739	MBTD1	'MBTD1	protein_coding
ENSG00000011260	chr17	51260546	51297936	+	37391	UTP18	'UTP18	protein_coding
ENSG00000011275	chr7	5620047	5781739	-	161693	RNF216	'RNF216	protein_coding
ENSG00000011295	chr17	15999784	16045015	+	45232	TTC19	'TTC19	protein_coding
ENSG00000011304	chr19	797075	812327	+	15253	PTBP1	'PTBP1	protein_coding
ENSG00000011332	chr19	38211006	38229714	-	18709	DPF1	'DPF1	protein_coding
ENSG00000011347	chr11	61515313	61581148	-	65836	SYT7	'SYT7	protein_coding
ENSG00000011376	chr3	45388561	45554726	+	166166	LARS2	'LARS2	protein_coding
ENSG00000011405	chr11	17077730	17207983	-	130254	PIK3C2A	'PIK3C2A	protein_coding
ENSG00000011422	chr19	43646095	43670547	-	24453	PLAUR	'PLAUR	protein_coding
ENSG00000011426	chr7	36389821	36453791	+	63971	ANLN	'ANLN	protein_coding
ENSG00000011451	chr19	15419980	15449951	-	29972	WIZ	'WIZ	protein_coding
ENSG00000011454	chr9	122940833	123104866	+	164034	RABGAP1	'RABGAP1	protein_coding
ENSG00000011465	chr12	91140484	91182824	-	42341	DCN	'DCN	protein_coding
ENSG00000011478	chr19	45692666	45703989	+	11324	QPCTL	'QPCTL	protein_coding
ENSG00000011485	chr19	46347087	46392981	+	45895	PPP5C	'PPP5C	protein_coding
ENSG00000011523	chr2	65056366	65087004	+	30639	CEP68	'CEP68	protein_coding
ENSG00000011566	chr2	39249266	39437301	-	188036	MAP4K3	'MAP4K3	protein_coding
ENSG00000011590	chr19	35704558	35717038	+	12481	ZBTB32	'ZBTB32	protein_coding
ENSG00000011600	chr19	35904401	35908295	-	3895	TYROBP	'TYROBP	protein_coding
ENSG00000011638	chr16	21158377	21180616	+	22240	TMEM159	'TMEM159	protein_coding
ENSG00000011677	chrX	152166234	152451315	-	285082	GABRA3	'GABRA3	protein_coding
ENSG00000012048	chr17	43044295	43170245	-	125951	BRCA1	'BRCA1	protein_coding
ENSG00000012061	chr19	45407333	45478828	-	71496	ERCC1	'ERCC1	protein_coding
ENSG00000012124	chr19	35319261	35347361	+	28101	CD22	'CD22	protein_coding
ENSG00000012171	chr3	50267558	50277546	+	9989	SEMA3B	'SEMA3B	protein_coding
ENSG00000012174	chrX	21839617	21885423	+	45807	MBTPS2	'MBTPS2	protein_coding
